Year,Region,Annual_CO2_Mean,Annual_CI_Lower,Annual_CI_Upper,Cumulative_CO2_Mean,Cumulative_CI_Lower,Cumulative_CI_Upper
2058,Europe & Central Asia,0.05298459671037511,0.029902823320115166,0.07606637010063505,0.789832443576718,0.7077722231892707,0.8718926639641652
2059,Europe & Central Asia,0.05409818432006073,0.031136067895388513,0.07706030074473294,0.8439306278967788,0.7587183132894603,0.9291429425040971
2060,Europe & Central Asia,0.05508670719723787,0.03247738400221238,0.07769603039226335,0.8990173350940166,0.8108565725288384,0.9871780976591947
2061,Europe & Central Asia,0.05588151204349965,0.033953303579011586,0.0778097205079877,0.9548988471375163,0.8640519078245391,1.0457457864504935
2062,Europe & Central Asia,0.05662728000264875,0.03540715393100554,0.07784740607429196,1.011526127140165,0.918233790193167,1.104818464087163
2063,Europe & Central Asia,0.05737577264447944,0.036778106231379434,0.07797343905757945,1.0689018997846444,0.973362776935952,1.1644410226333368
2064,Europe & Central Asia,0.058106308319900914,0.0380681509599149,0.07814446567988693,1.1270082081045454,1.0293903217051712,1.2246260945039193
2065,Europe & Central Asia,0.05877969685108016,0.03926498918527776,0.07829440451688255,1.1857879049556255,1.0862385425249057,1.2853372673863455
2066,Europe & Central Asia,0.05939806060758235,0.04037266544754395,0.07842345576762075,1.2451859655632078,1.1438348865291963,1.3465370445972196
2067,Europe & Central Asia,0.05996863298578013,0.04139594053628181,0.07854132543527846,1.305154598548988,1.20211583823918,1.4081933588587963
2068,Europe & Central Asia,0.060439997803154885,0.042204768117006075,0.0786752274893037,1.365594596352143,1.2609546913068463,1.4702345013974396
2069,Europe & Central Asia,0.06082844095084293,0.042836045093616125,0.07882083680806974,1.4264230373029858,1.3202475408992873,1.5325985337066845
2070,Europe & Central Asia,0.061154526011876535,0.04333416358119954,0.07897488844255353,1.4875775633148625,1.3799169792846218,1.5952381473451032
2071,Europe & Central Asia,0.06135043742821021,0.043746080200616745,0.07895479465580368,1.5489280007430728,1.4398376036078102,1.6580183978783352
2072,Europe & Central Asia,0.06152123390306508,0.04409632932747616,0.07894613847865402,1.6104492346461377,1.4999759707014275,1.720922498590848
2073,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.6721255338671785,1.5603106289035336,1.7839404388308233
2074,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.7338018330882192,1.6206611953957426,1.8469424707806956
2075,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.79547813230926,1.6810271173601055,1.9099291472584143
2076,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.8571544315303006,1.7414078732733793,1.9729009897872218
2077,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.9188307307513413,1.801802970481591,2.0358584910210915
2078,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,1.9805070299723821,1.8622119430110655,2.098802116933699
2079,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.042183329193423,1.922634349588339,2.1617323087985065
2080,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.1038596284144635,1.9830697718450974,2.2246494849838294
2081,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.165535927635504,2.0435178126874387,2.28755404258357
2082,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.227212226856545,2.103978094811439,2.350446358901651
2083,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.2888885260775855,2.1644502593492922,2.4133267928058793
2084,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.350564825298626,2.224933964632255,2.476195685964998
2085,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.4122411245196673,2.28542888505831,2.5390533639810244
2086,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.473917423740708,2.345934710053914,2.6019001374275015
2087,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.5355937229617487,2.4064511431204463,2.664736302803051
2088,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.5972700221827894,2.4669779009570667,2.727562143408512
2089,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.65894632140383,2.527514712652625,2.790377930155035
2090,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.7206226206248707,2.5880613189400994,2.8531839223096425
2091,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.7822989198459114,2.6486174715077357,2.9159803681840875
2092,Europe & Central Asia,0.06167629922104064,0.04440693543914926,0.07894566300293203,2.843975219066952,2.7091829323617267,2.978767505772178
